"""Time""","""XRP / Market Cap (USD)"""
"""2015-02-18""",0.013713874
"""2015-02-19""",0.01363666998
"""2015-02-20""",0.01326469647
"""2015-02-21""",0.01345611732
"""2015-02-22""",0.01319305143
"""2015-02-23""",0.01352814634
"""2015-02-24""",0.01303013673
"""2015-02-25""",0.01315837941
"""2015-02-26""",0.01312364806
"""2015-02-27""",0.01325206594
"""2015-02-28""",0.01253705848
"""2015-03-01""",0.01158392979
"""2015-03-02""",0.01182278472
"""2015-03-03""",0.008799414474
"""2015-03-04""",0.0104764293
"""2015-03-05""",0.01131755122
"""2015-03-06""",0.01059171738
"""2015-03-07""",0.01040374432
"""2015-03-08""",0.01019348314
"""2015-03-09""",0.01028336658
"""2015-03-10""",0.01002614126
"""2015-03-11""",0.0102970231
"""2015-03-12""",0.01056015117
"""2015-03-13""",0.01041348297
"""2015-03-14""",0.01113122454
"""2015-03-15""",0.01074956313
"""2015-03-16""",0.01095795888
"""2015-03-17""",0.01074353705
"""2015-03-18""",0.01011156544
"""2015-03-19""",0.01008142371
"""2015-03-20""",0.01012147204
"""2015-03-21""",0.009877510425
"""2015-03-22""",0.01012406338
"""2015-03-23""",0.009663068725
"""2015-03-24""",0.009241251983
"""2015-03-25""",0.008780834339
"""2015-03-26""",0.008578871643
"""2015-03-27""",0.00869034682
"""2015-03-28""",0.008835175658
"""2015-03-29""",0.008343436509
"""2015-03-30""",0.008138019934
"""2015-03-31""",0.007649373726
"""2015-04-01""",0.007674796783
"""2015-04-02""",0.008062829649
"""2015-04-03""",0.00877671054
"""2015-04-04""",0.008594643457
"""2015-04-05""",0.008770679225
"""2015-04-06""",0.008876412707
"""2015-04-07""",0.009143287045
"""2015-04-08""",0.009095451289
"""2015-04-09""",0.008642256669
"""2015-04-10""",0.008552637816
"""2015-04-11""",0.008086583246
"""2015-04-12""",0.008096361307
"""2015-04-13""",0.008021780815
"""2015-04-14""",0.007697894809
"""2015-04-15""",0.007887706308
"""2015-04-16""",0.007932831581
"""2015-04-17""",0.007856791519
"""2015-04-18""",0.007861149123
"""2015-04-19""",0.007870862483
"""2015-04-20""",0.007871378754
"""2015-04-21""",0.008121777888
"""2015-04-22""",0.007993263322
"""2015-04-23""",0.00786833129
"""2015-04-24""",0.007763349513
"""2015-04-25""",0.00788926605
"""2015-04-26""",0.00771975142
"""2015-04-27""",0.00773010552
"""2015-04-28""",0.007595998163
"""2015-04-29""",0.007881302725
"""2015-04-30""",0.008201608387
"""2015-05-01""",0.008080982472
"""2015-05-02""",0.008040295743
"""2015-05-03""",0.008056894006
"""2015-05-04""",0.008110789704
"""2015-05-05""",0.007677355669
"""2015-05-06""",0.007587407702
"""2015-05-07""",0.007542881533
"""2015-05-08""",0.00743700315
"""2015-05-09""",0.007499540553
"""2015-05-10""",0.007314785592
"""2015-05-11""",0.007356422891
"""2015-05-12""",0.007076850151
"""2015-05-13""",0.00669614642
"""2015-05-14""",0.006645441294
"""2015-05-15""",0.006574221564
"""2015-05-16""",0.006518168633
"""2015-05-17""",0.006262741044
"""2015-05-18""",0.005387299876
"""2015-05-19""",0.006589208839
"""2015-05-20""",0.00636522808
"""2015-05-21""",0.006459520211
"""2015-05-22""",0.006694005399
"""2015-05-23""",0.006844647784
"""2015-05-24""",0.006708568293
"""2015-05-25""",0.006859567928
"""2015-05-26""",0.006710742093
"""2015-05-27""",0.006775952758
"""2015-05-28""",0.007921291286
"""2015-05-29""",0.009308615262
"""2015-05-30""",0.008160653302
"""2015-05-31""",0.008220115938
"""2015-06-01""",0.007382468077
"""2015-06-02""",0.008203894203
"""2015-06-03""",0.007975265513
"""2015-06-04""",0.007625918273
"""2015-06-05""",0.007831795765
"""2015-06-06""",0.007853449864
"""2015-06-07""",0.007779113062
"""2015-06-08""",0.007956211979
"""2015-06-09""",0.008014121742
"""2015-06-10""",0.00792817227
"""2015-06-11""",0.007984861216
"""2015-06-12""",0.007939332358
"""2015-06-13""",0.008138434503
"""2015-06-14""",0.008133011962
"""2015-06-15""",0.008796001017
"""2015-06-16""",0.009315067593
