"""Time""","""NEXO / Market Cap Estimated (USD)"""
"""2020-02-25""",92163767.40884404
"""2020-02-26""",97939110.54060397
"""2020-02-27""",84859393.93007404
"""2020-02-28""",85250575.4174403
"""2020-02-29""",85849189.45340075
"""2020-03-01""",88253638.16617344
"""2020-03-02""",102458478.10127597
"""2020-03-03""",96697967.49603283
"""2020-03-04""",102690219.59048957
"""2020-03-05""",103055991.95115691
"""2020-03-06""",105060605.45437066
"""2020-03-07""",101793039.11045912
"""2020-03-08""",87468226.31697997
"""2020-03-09""",84410004.26854025
"""2020-03-10""",85224389.12427981
"""2020-03-11""",84575627.55440898
"""2020-03-12""",44789401.88420209
"""2020-03-13""",54818611.44289912
"""2020-03-14""",54063843.42325429
"""2020-03-15""",50721984.93324897
"""2020-03-16""",45873346.97909618
"""2020-03-17""",51062077.196738586
"""2020-03-18""",49708326.07320376
"""2020-03-19""",61105511.91040499
"""2020-03-20""",56290772.49493551
"""2020-03-21""",60783107.56967976
"""2020-03-22""",53982202.81891176
"""2020-03-23""",60054053.0036314
"""2020-03-24""",59425741.42287677
"""2020-03-25""",59008886.339708
"""2020-03-26""",60976744.57490834
"""2020-03-27""",59597929.028185755
"""2020-03-28""",58530851.92050989
"""2020-03-29""",56612290.25829169
"""2020-03-30""",60122101.90553157
"""2020-03-31""",61208950.23223296
"""2020-04-01""",62354806.35473001
"""2020-04-02""",62796015.55507923
"""2020-04-03""",61663486.56995215
"""2020-04-04""",63689121.47402944
"""2020-04-05""",61733102.90507018
"""2020-04-06""",68404871.69459483
"""2020-04-07""",65964340.60856747
"""2020-04-08""",67353829.38067445
"""2020-04-09""",67527059.00274229
"""2020-04-10""",61740323.90568073
"""2020-04-11""",62109034.323809855
"""2020-04-12""",62830462.1969565
"""2020-04-13""",57582834.70767154
"""2020-04-14""",60525847.783959374
"""2020-04-15""",56727333.41556231
"""2020-04-16""",63377085.50829956
"""2020-04-17""",61655828.52777836
"""2020-04-18""",62722024.15678391
"""2020-04-19""",58707641.63264951
"""2020-04-20""",56682370.159444004
"""2020-04-21""",59202463.43214663
"""2020-04-22""",60286008.766433954
"""2020-04-23""",61151232.61572835
"""2020-04-24""",60300642.932038724
"""2020-04-25""",58817291.35092143
"""2020-04-26""",57911491.77449513
"""2020-04-27""",58594313.60082826
"""2020-04-28""",59932581.9438968
"""2020-04-29""",63890115.85217028
"""2020-04-30""",59649661.91319022
"""2020-05-01""",61373456.44707997
"""2020-05-02""",60158741.77428748
"""2020-05-03""",60258204.182556
"""2020-05-04""",62117987.08995423
"""2020-05-05""",61006420.505054526
"""2020-05-06""",61603647.5006502
"""2020-05-07""",62265039.438935764
"""2020-05-08""",60416572.98611583
"""2020-05-09""",59621702.324274145
"""2020-05-10""",53258078.10190348
"""2020-05-11""",55876747.81047674
"""2020-05-12""",60735082.084994175
"""2020-05-13""",65394313.86824135
"""2020-05-14""",64716201.36627581
"""2020-05-15""",62485290.05791957
"""2020-05-16""",61511739.120925285
"""2020-05-17""",62112162.38547991
"""2020-05-18""",62464414.32269063
"""2020-05-19""",61493813.986645944
"""2020-05-20""",60554667.56546098
"""2020-05-21""",59733029.909117736
"""2020-05-22""",62979338.02833398
"""2020-05-23""",64202329.93383406
"""2020-05-24""",62706853.43582043
"""2020-05-25""",65645870.00998493
"""2020-05-26""",67983706.81940666
"""2020-05-27""",69435730.50725281
"""2020-05-28""",72210670.00899461
"""2020-05-29""",74968948.37198727
"""2020-05-30""",76699159.0245111
"""2020-05-31""",71363353.24462819
"""2020-06-01""",85801080.1200615
"""2020-06-02""",69282086.64370397
"""2020-06-03""",70601293.42451727
"""2020-06-04""",72265276.05249411
"""2020-06-05""",69980677.45761558
"""2020-06-06""",73969086.10861371
"""2020-06-07""",72304177.54297274
"""2020-06-08""",67531423.08674699
"""2020-06-09""",72154774.00623591
"""2020-06-10""",73345165.12083514
"""2020-06-11""",68979209.83991848
"""2020-06-12""",70383485.3834491
"""2020-06-13""",71815425.17707448
"""2020-06-14""",70582974.37500234
"""2020-06-15""",70690348.28663927
"""2020-06-16""",83013458.53727973
"""2020-06-17""",84784331.48195878
"""2020-06-18""",91510010.20821816
"""2020-06-19""",95959496.7851919
"""2020-06-20""",97467732.10950679
"""2020-06-21""",104194968.18739848
"""2020-06-22""",112316809.52172017
"""2020-06-23""",109581541.86406206
"""2020-06-24""",102692059.61778621
"""2020-06-25""",108513020.7647607
"""2020-06-26""",111848475.2132694
"""2020-06-27""",103690487.87919302
"""2020-06-28""",108555937.6789555
"""2020-06-29""",109630693.76051465
"""2020-06-30""",117292218.41442627
"""2020-07-01""",128426772.86643477
"""2020-07-02""",123094705.9066642
"""2020-07-03""",111523318.22523986
"""2020-07-04""",117958006.25760159
"""2020-07-05""",117154744.06626515
"""2020-07-06""",119025492.16447723
"""2020-07-07""",117832131.93061174
"""2020-07-08""",127261569.33317289
"""2020-07-09""",124315242.97486223
"""2020-07-10""",125124983.33856994
"""2020-07-11""",125965370.74253918
"""2020-07-12""",131351642.38982049
"""2020-07-13""",119163376.76857007
"""2020-07-14""",109788963.08749941
"""2020-07-15""",111832225.30421527
"""2020-07-16""",105455537.44914857
"""2020-07-17""",110524737.12563656
"""2020-07-18""",110797456.41418007
"""2020-07-19""",108655219.8414936
"""2020-07-20""",109258629.8573992
"""2020-07-21""",109067751.2097368
"""2020-07-22""",111457893.01964833
"""2020-07-23""",113032642.19829732
"""2020-07-24""",116452405.31588513
"""2020-07-25""",127296097.80578914
"""2020-07-26""",126702130.61996907
"""2020-07-27""",126699504.99692832
"""2020-07-28""",130828065.22814739
"""2020-07-29""",129426463.57564877
"""2020-07-30""",129863653.66162696
"""2020-07-31""",130348855.19763044
"""2020-08-01""",126781778.15344362
"""2020-08-02""",126009637.38546233
"""2020-08-03""",124881072.38171129
"""2020-08-04""",132720329.04452384
"""2020-08-05""",101734363.65169539
"""2020-08-06""",102896316.52211711
"""2020-08-07""",93382298.64241521
"""2020-08-08""",94738765.26317164
"""2020-08-09""",94457659.8025286
"""2020-08-10""",94634154.23937607
"""2020-08-11""",91623747.73602761
"""2020-08-12""",98270024.32216139
"""2020-08-13""",89435428.91250364
"""2020-08-14""",89211800.19892819
"""2020-08-15""",77245574.77813645
"""2020-08-16""",77998073.34480572
"""2020-08-17""",84188123.65828836
"""2020-08-18""",72196235.49040012
"""2020-08-19""",74006610.77963327
"""2020-08-20""",74961539.97240049
"""2020-08-21""",73233221.1304067
"""2020-08-22""",76975619.91003563
"""2020-08-23""",74540512.6816503
"""2020-08-24""",78042164.94559862
"""2020-08-25""",71504185.84022795
"""2020-08-26""",82728443.21333794
"""2020-08-27""",82098973.79513784
"""2020-08-28""",87500053.40648541
"""2020-08-29""",85178741.56485017
"""2020-08-30""",83758535.4154147
"""2020-08-31""",95002829.07015081
"""2020-09-01""",96841030.80907324
"""2020-09-02""",92143428.69958493
"""2020-09-03""",71795025.47023596
"""2020-09-04""",72545914.06069103
"""2020-09-05""",65997098.853233054
"""2020-09-06""",68961844.03265905
"""2020-09-07""",69095483.21294187
"""2020-09-08""",73909542.09924303
"""2020-09-09""",71559531.63439538
"""2020-09-10""",74028779.41819547
"""2020-09-11""",72871351.97421853
"""2020-09-12""",71975257.60602924
"""2020-09-13""",69788935.54157263
"""2020-09-14""",71759643.24970077
"""2020-09-15""",69220116.5544021
"""2020-09-16""",68548925.45150734
"""2020-09-17""",69090121.94260895
"""2020-09-18""",67200204.00716954
"""2020-09-19""",66390793.380911574
"""2020-09-20""",66768483.21590195
"""2020-09-21""",66147757.0290031
"""2020-09-22""",69178462.06615603
"""2020-09-23""",66460103.56748885
"""2020-09-24""",72932507.42086585
"""2020-09-25""",71894714.25686437
"""2020-09-26""",73027434.32211822
"""2020-09-27""",73210843.44587244
"""2020-09-28""",74080390.23675032
"""2020-09-29""",75753197.59957004
"""2020-09-30""",78569271.48416366
"""2020-10-01""",79297089.42158608
"""2020-10-02""",79982755.27642107
"""2020-10-03""",79381444.14102507
"""2020-10-04""",75495358.60190867
"""2020-10-05""",75235496.51789387
"""2020-10-06""",73132606.08868821
"""2020-10-07""",71049595.92384084
"""2020-10-08""",70276201.84243707
"""2020-10-09""",70123975.11857876
"""2020-10-10""",72490318.06216808
"""2020-10-11""",72649112.77893624
"""2020-10-12""",71949298.11684547
"""2020-10-13""",72592782.35485825
"""2020-10-14""",73546275.2046599
"""2020-10-15""",79014151.4007515
"""2020-10-16""",78227991.66434476
"""2020-10-17""",77901288.71439488
"""2020-10-18""",83224715.26734778
"""2020-10-19""",84751440.49909306
"""2020-10-20""",80158005.38078126
"""2020-10-21""",83828195.19434902
"""2020-10-22""",82561273.65379575
"""2020-10-23""",81753419.39813295
"""2020-10-24""",82024186.38075764
"""2020-10-25""",79948940.69179405
"""2020-10-26""",80697300.64023578
"""2020-10-27""",89831924.5384874
"""2020-10-28""",91777874.13437067
"""2020-10-29""",91352492.14390498
"""2020-10-30""",92584513.01687375
"""2020-10-31""",99206150.12996407
"""2020-11-01""",98142654.5915518
"""2020-11-02""",100279467.02823871
"""2020-11-03""",97860372.95923096
"""2020-11-04""",97015556.95883697
"""2020-11-05""",98707033.6971819
"""2020-11-06""",97058065.45897758
"""2020-11-07""",93866781.7451899
"""2020-11-08""",92822296.96832846
"""2020-11-09""",93716547.72070296
"""2020-11-10""",98930753.42688584
"""2020-11-11""",103330242.35805666
"""2020-11-12""",107771605.37046899
"""2020-11-13""",115998868.51609659
"""2020-11-14""",115731498.77431324
"""2020-11-15""",111705097.23491463
"""2020-11-16""",114774176.45094918
"""2020-11-17""",135413165.16088498
"""2020-11-18""",127162880.87964882
"""2020-11-19""",120465336.51302168
"""2020-11-20""",130849844.9490132
"""2020-11-21""",138971925.5868271
"""2020-11-22""",140765285.49580708
"""2020-11-23""",141097825.49286446
"""2020-11-24""",147380480.60785076
"""2020-11-25""",131338665.65519029
"""2020-11-26""",131051593.08592208
"""2020-11-27""",144812801.4901324
"""2020-11-28""",166711992.39901605
"""2020-11-29""",175164930.29746094
"""2020-11-30""",187876198.50463873
"""2020-12-01""",185156389.59113812
"""2020-12-02""",174161382.01871905
"""2020-12-03""",216844513.52871495
"""2020-12-04""",217001400.34172374
"""2020-12-05""",253738410.14404818
"""2020-12-06""",219338610.0111545
"""2020-12-07""",248999426.01157188
"""2020-12-08""",239562236.45678455
"""2020-12-09""",280225578.47041035
"""2020-12-10""",287748405.41687626
"""2020-12-11""",273732344.87388337
"""2020-12-12""",295928262.15240127
"""2020-12-13""",294061273.5447296
"""2020-12-14""",288749645.9176715
"""2020-12-15""",326374680.97055554
"""2020-12-16""",340932193.04359204
"""2020-12-17""",386849502.726349
"""2020-12-18""",403255212.073756
"""2020-12-19""",415317448.1271266
"""2020-12-20""",382096446.8361771
"""2020-12-21""",332034343.5899117
"""2020-12-22""",365828137.57544416
"""2020-12-23""",315681620.10194516
"""2020-12-24""",339154854.72724813
"""2020-12-25""",320699737.9361935
"""2020-12-26""",348005809.05630064
"""2020-12-27""",324474164.3019696
"""2020-12-28""",335313126.7973065
"""2020-12-29""",325674927.5668933
"""2020-12-30""",299491586.8989522
"""2020-12-31""",308023192.8319751
"""2021-01-01""",326455571.0472367
"""2021-01-02""",361066323.5751572
"""2021-01-03""",343501818.08669716
"""2021-01-04""",350374596.3159896
"""2021-01-05""",347622040.64464664
"""2021-01-06""",374479406.27113456
"""2021-01-07""",348604412.16589034
"""2021-01-08""",364090663.54297006
"""2021-01-09""",356201731.0453682
"""2021-01-10""",350779533.66351473
"""2021-01-11""",312746795.39931333
"""2021-01-12""",303339411.2775333
"""2021-01-13""",329846602.4567426
"""2021-01-14""",374844136.4426162
"""2021-01-15""",376050198.7795151
"""2021-01-16""",372639813.3842573
"""2021-01-17""",364915918.1626921
"""2021-01-18""",382399867.56487834
"""2021-01-19""",417434445.3652157
"""2021-01-20""",421264205.1311729
"""2021-01-21""",373953216.2709415
"""2021-01-22""",389692590.1161611
"""2021-01-23""",381434115.89283943
"""2021-01-24""",408480182.69914025
"""2021-01-25""",410644182.2845787
"""2021-01-26""",405744050.2650434
"""2021-01-27""",405079673.9437774
"""2021-01-28""",426873543.4078239
"""2021-01-29""",432019980.7452266
"""2021-01-30""",480827388.14400727
"""2021-01-31""",464725737.40336543
"""2021-02-01""",515053584.20845145
"""2021-02-02""",572130234.1290506
"""2021-02-03""",655707459.7159073
"""2021-02-04""",762564534.0982498
"""2021-02-05""",793522393.9598545
"""2021-02-06""",798490103.069362
"""2021-02-07""",844559623.5386889
"""2021-02-08""",917661665.0487204
"""2021-02-09""",956499714.4611151
"""2021-02-10""",909102328.3649188
"""2021-02-11""",905024299.2120023
"""2021-02-12""",938608945.4388903
"""2021-02-13""",943334702.5800248
"""2021-02-14""",948060532.8399407
"""2021-02-15""",950777958.3771435
"""2021-02-16""",1027720761.3603343
"""2021-02-17""",1018488201.7315977
"""2021-02-18""",1100765183.7860746
"""2021-02-19""",1301065289.6094465
"""2021-02-20""",1378013053.048612
"""2021-02-21""",1396586904.5022116
"""2021-02-22""",1301948419.8556595
"""2021-02-23""",1132114217.4001937
"""2021-02-24""",1179862176.8815415
"""2021-02-25""",1121573217.0721908
"""2021-02-26""",1125836307.8326492
"""2021-02-27""",1121751189.9540684
"""2021-02-28""",1150112882.7528586
"""2021-03-01""",1237192636.9228797
"""2021-03-02""",1181597670.270982
"""2021-03-03""",1295689509.9146667
"""2021-03-04""",1231091955.495759
"""2021-03-05""",1194854157.3467524
"""2021-03-06""",1164853174.5770442
"""2021-03-07""",1217177196.8005764
"""2021-03-08""",1298241273.1035628
"""2021-03-09""",1403478337.264822
"""2021-03-10""",1362483972.947877
"""2021-03-11""",1384678717.182479
"""2021-03-12""",1332648475.7851913
"""2021-03-13""",1414176267.061038
"""2021-03-14""",1439948827.8942769
"""2021-03-15""",1461417555.8895524
"""2021-03-16""",1509100576.3151062
"""2021-03-17""",1540910326.812913
"""2021-03-18""",1538794388.4618714
"""2021-03-19""",1571514359.0493793
"""2021-03-20""",1510974189.2667465
"""2021-03-21""",1517826818.17473
"""2021-03-22""",1378975160.5813646
"""2021-03-23""",1367199904.5349383
"""2021-03-24""",1311670022.2355914
"""2021-03-25""",1364903967.9813373
"""2021-03-26""",1491974540.4697652
"""2021-03-27""",1455536021.180377
"""2021-03-28""",1410683393.6872518
"""2021-03-29""",1492072779.134191
"""2021-03-30""",1538363221.9026926
"""2021-03-31""",1547471267.9099493
"""2021-04-01""",1557152645.807063
"""2021-04-02""",1569776813.5952637
"""2021-04-03""",1506638533.711633
"""2021-04-04""",1542120613.856903
"""2021-04-05""",1600933909.7566974
"""2021-04-06""",1616193957.3901854
"""2021-04-07""",1519162435.4764605
"""2021-04-08""",1576147198.1479902
"""2021-04-09""",1596057396.9512868
"""2021-04-10""",1609272631.684756
"""2021-04-11""",1646910899.8000238
"""2021-04-12""",1808394502.5311513
"""2021-04-13""",1910017842.5041897
"""2021-04-14""",2090764354.889481
"""2021-04-15""",2127416005.4615307
"""2021-04-16""",2068332610.933581
"""2021-04-17""",2029564288.2943833
"""2021-04-18""",1995231257.709398
"""2021-04-19""",1912812017.3215015
"""2021-04-20""",1996861765.0712473
"""2021-04-21""",1987761280.7601979
"""2021-04-22""",1957680049.8131876
"""2021-04-23""",1915707768.2040117
"""2021-04-24""",1880979588.5118687
"""2021-04-25""",1846490145.8212988
"""2021-04-26""",1971499357.7554476
"""2021-04-27""",2046542765.5009062
"""2021-04-28""",2058975161.176441
"""2021-04-29""",2010849799.1219862
"""2021-04-30""",2048581470.8056045
"""2021-05-01""",2130968987.9021182
"""2021-05-02""",2057384959.0419238
"""2021-05-03""",2213336597.092955
"""2021-05-04""",2043251145.0689967
"""2021-05-05""",2120057332.433412
"""2021-05-06""",2048084483.9923792
"""2021-05-07""",2032180101.3120954
"""2021-05-08""",2187941842.4986105
"""2021-05-09""",2187479383.2293406
"""2021-05-10""",2142060400.762717
"""2021-05-11""",2195724956.2689557
"""2021-05-12""",2071305677.7642312
"""2021-05-13""",1963605611.119509
"""2021-05-14""",2199192464.398127
"""2021-05-15""",1906210395.8682911
"""2021-05-16""",1873890732.4700139
"""2021-05-17""",1733193636.2359216
"""2021-05-18""",1741809842.8615987
"""2021-05-19""",1236142978.6841807
"""2021-05-20""",1385023900.7141645
"""2021-05-21""",1122536732.3436139
"""2021-05-22""",1053238580.9919893
"""2021-05-23""",822440761.5631893
"""2021-05-24""",1169981439.933078
"""2021-05-25""",1091543293.7719302
"""2021-05-26""",1382685626.3150325
"""2021-05-27""",1226299086.704138
"""2021-05-28""",1030480138.1304964
"""2021-05-29""",1016186786.2762635
"""2021-05-30""",1067562271.1066716
"""2021-05-31""",1119060150.6641834
"""2021-06-01""",1101714109.4866776
"""2021-06-02""",1203030171.4447477
"""2021-06-03""",1271139749.2191238
"""2021-06-04""",1196800255.4587002
"""2021-06-05""",1164511301.5461497
"""2021-06-06""",1249474987.3374727
"""2021-06-07""",1248987207.0466878
"""2021-06-08""",1101853821.4518135
"""2021-06-09""",1232189482.185571
"""2021-06-10""",1152415187.5614007
"""2021-06-11""",1071819837.0433633
"""2021-06-12""",1042919913.4747111
"""2021-06-13""",1082138779.1511977
"""2021-06-14""",1083608012.4770772
"""2021-06-15""",1043202969.9197177
"""2021-06-16""",976668707.5200014
"""2021-06-17""",1045043739.3573887
"""2021-06-18""",981810683.2935156
"""2021-06-19""",950227104.7341806
"""2021-06-20""",899212115.1508188
"""2021-06-21""",735632077.2180845
"""2021-06-22""",756134322.4943631
"""2021-06-23""",829934525.9848249
"""2021-06-24""",874169427.590441
"""2021-06-25""",777723488.2243611
"""2021-06-26""",667072710.9301722
"""2021-06-27""",702703198.1010597
"""2021-06-28""",766691727.6482209
"""2021-06-29""",822569898.7499695
"""2021-06-30""",825236328.1545404
"""2021-07-01""",760446282.7684036
"""2021-07-02""",839315945.9187046
"""2021-07-03""",844699227.1204538
"""2021-07-04""",874444226.8277793
"""2021-07-05""",854825753.4730867
"""2021-07-06""",913161539.0257343
"""2021-07-07""",938443780.7626654
"""2021-07-08""",890871619.207666
"""2021-07-09""",920086202.3937305
"""2021-07-10""",915435069.9234502
"""2021-07-11""",911741859.7560658
"""2021-07-12""",878855327.1900578
"""2021-07-13""",858759277.45323
"""2021-07-14""",888107561.7072515
"""2021-07-15""",826844997.0705874
"""2021-07-16""",807143186.2838938
"""2021-07-17""",822954360.8865777
"""2021-07-18""",824239367.1324477
"""2021-07-19""",801428174.4511508
"""2021-07-20""",719114734.4260095
"""2021-07-21""",788091628.3295249
"""2021-07-22""",825351739.8954059
"""2021-07-23""",846427678.9805995
"""2021-07-24""",871719117.0837886
"""2021-07-25""",871878855.6276973
